Subject,RT,KeyPressed,StimulusType,SyntaxCategory,Correct
6,1472,85,Sentence,Filler-Gram,FALSE
6,760,65,Sentence,Filler-Ungram,FALSE
6,1022,65,Sentence,Grammatical,TRUE
6,936,85,Sentence,Ungrammatical,TRUE
6,1627,65,Sentence,Filler-Ungram,FALSE
6,913,65,Sentence,Grammatical,TRUE
6,1530,65,Sentence,Grammatical,TRUE
6,761,65,Sentence,Grammatical,TRUE
6,1360,85,Sentence,Filler-Gram,FALSE
6,765,65,Sentence,Grammatical,TRUE
6,836,65,Sentence,Filler-Ungram,FALSE
6,2000,65,Sentence,Grammatical,TRUE
6,518,85,Sentence,Ungrammatical,TRUE
6,3321,65,Sentence,Filler-Ungram,FALSE
6,317,85,Sentence,Filler-Gram,FALSE
6,552,85,Sentence,Filler-Gram,FALSE
6,599,65,Sentence,Grammatical,TRUE
6,1370,85,Sentence,Ungrammatical,TRUE
6,1639,65,Sentence,Filler-Ungram,FALSE
6,1915,65,Sentence,Grammatical,TRUE
6,3254,85,Sentence,Grammatical,FALSE
6,945,65,Sentence,Grammatical,TRUE
6,1028,65,Sentence,Filler-Ungram,FALSE
6,2213,85,Sentence,Filler-Gram,FALSE
6,2080,65,Sentence,Grammatical,TRUE
6,6123,65,Music,Distant-Key,FALSE
6,2025,65,Music,In-Key,TRUE
6,747,85,Music,Distant-Key,TRUE
6,2637,85,Music,Distant-Key,TRUE
6,1253,65,Music,Distant-Key,FALSE
6,571,65,Music,In-Key,TRUE
6,887,85,Music,Distant-Key,TRUE
6,1610,65,Music,In-Key,TRUE
6,737,85,Music,Distant-Key,TRUE
6,564,85,Music,Distant-Key,TRUE
6,872,65,Music,Distant-Key,FALSE
6,2050,65,Music,In-Key,TRUE
6,1551,65,Music,Distant-Key,FALSE
6,1084,65,Music,In-Key,TRUE
6,1095,65,Music,In-Key,TRUE
6,556,85,Music,Distant-Key,TRUE
6,1035,85,Music,In-Key,FALSE
6,5580,85,Music,In-Key,FALSE
6,841,85,Music,Distant-Key,TRUE
6,595,65,Music,In-Key,TRUE
6,1100,65,Music,In-Key,TRUE
6,1091,85,Music,Distant-Key,TRUE
6,6280,65,Music,In-Key,TRUE
6,777,65,Music,In-Key,TRUE
6,1004,65,Music,In-Key,TRUE
6,1719,85,Music,Distant-Key,TRUE
6,523,65,Music,Distant-Key,FALSE
6,3657,65,Music,In-Key,TRUE
6,3357,65,Music,Distant-Key,FALSE
6,479,85,Music,Distant-Key,TRUE
6,1525,65,Music,In-Key,TRUE
6,3055,85,Music,Distant-Key,TRUE
6,978,85,Music,Distant-Key,TRUE
6,2489,85,Music,Distant-Key,TRUE
6,3422,85,Music,Distant-Key,TRUE
6,1042,85,Music,Distant-Key,TRUE
6,7232,85,Sentence,Filler-Gram,FALSE
6,752,85,Sentence,Ungrammatical,TRUE
6,713,85,Sentence,Filler-Gram,FALSE
6,732,65,Sentence,Filler-Ungram,FALSE
6,1507,85,Sentence,Filler-Gram,FALSE
6,926,65,Sentence,Filler-Ungram,FALSE
6,641,85,Sentence,Ungrammatical,TRUE
6,616,65,Sentence,Grammatical,TRUE
6,1297,65,Sentence,Grammatical,TRUE
6,1595,85,Sentence,Ungrammatical,TRUE
6,456,85,Sentence,Ungrammatical,TRUE
6,713,85,Sentence,Ungrammatical,TRUE
6,528,65,Sentence,Grammatical,TRUE
6,1010,85,Sentence,Ungrammatical,TRUE
6,811,65,Sentence,Grammatical,TRUE
6,1198,85,Sentence,Ungrammatical,TRUE
6,697,85,Sentence,Ungrammatical,TRUE
6,1811,85,Sentence,Filler-Gram,FALSE
6,864,65,Sentence,Filler-Ungram,FALSE
6,2987,85,Sentence,Ungrammatical,TRUE
6,1165,85,Sentence,Filler-Gram,FALSE
6,699,85,Sentence,Ungrammatical,TRUE
6,524,85,Sentence,Ungrammatical,TRUE
6,988,85,Sentence,Ungrammatical,TRUE
6,453,65,Sentence,Filler-Gram,TRUE
6,492,65,Sentence,Grammatical,TRUE
6,847,65,Sentence,Filler-Ungram,FALSE
6,698,85,Sentence,Filler-Gram,FALSE
6,464,85,Sentence,Ungrammatical,TRUE
6,654,65,Sentence,Filler-Ungram,FALSE
6,781,65,Sentence,Grammatical,TRUE
6,443,65,Sentence,Grammatical,TRUE
6,553,65,Sentence,Filler-Ungram,FALSE
6,968,85,Sentence,Ungrammatical,TRUE
